Tn	Tp	Rn	Rp	R1	APDS	wl(A)	n1	n2	n3	n4	n5	n6	n7	n8	n_ibri
0.6638525	0.0000000	0.3216041	0.0000000	0.0000000	0.9129768	5077.8605281	1.5228361	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6644884	0.0000000	0.3203273	0.0000000	0.0000000	0.9128061	5115.9618008	1.5226064	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6654512	0.0000000	0.3192747	0.0000000	0.0000000	0.9130399	5154.6391753	1.5223786	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6660953	0.0000000	0.3180803	0.0000000	0.0000000	0.9133982	5193.9058172	1.5221527	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6669665	0.0000000	0.3167991	0.0000000	0.0000000	0.9128838	5233.7752966	1.5219288	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6678510	0.0000000	0.3154604	0.0000000	0.0000000	0.9123162	5274.2616034	1.5217068	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6687398	0.0000000	0.3140164	0.0000000	0.0000000	0.9117154	5315.3791637	1.5214866	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6696228	0.0000000	0.3125268	0.0000000	0.0000000	0.9110648	5357.1428571	1.5212682	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6707208	0.0000000	0.3110612	0.0000000	0.0000000	0.9101211	5399.5680346	1.5210518	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6718848	0.0000000	0.3096756	0.0000000	0.0000000	0.9093661	5442.6705370	1.5208372	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6729377	0.0000000	0.3081370	0.0000000	0.0000000	0.9085677	5486.4667154	1.5206243	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6742262	0.0000000	0.3066868	0.0000000	0.0000000	0.9078047	5530.9734513	1.5204134	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6753318	0.0000000	0.3050740	0.0000000	0.0000000	0.9069785	5576.2081784	1.5202039	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6766394	0.0000000	0.3035322	0.0000000	0.0000000	0.9060058	5622.1889055	1.5199963	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6778195	0.0000000	0.3019232	0.0000000	0.0000000	0.9049878	5668.9342404	1.5197904	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6789426	0.0000000	0.3003546	0.0000000	0.0000000	0.9040459	5716.4634146	1.5195861	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6801755	0.0000000	0.2987098	0.0000000	0.0000000	0.9032103	5764.7963105	1.5193834	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6812706	0.0000000	0.2970072	0.0000000	0.0000000	0.9018867	5813.9534884	1.5191827	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6824893	0.0000000	0.2951851	0.0000000	0.0000000	0.9005831	5863.9562158	1.5189832	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6836224	0.0000000	0.2933852	0.0000000	0.0000000	0.8989618	5914.8264984	1.5187855	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6849205	0.0000000	0.2914103	0.0000000	0.0000000	0.8970658	5966.5871122	1.5185894	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6862173	0.0000000	0.2894409	0.0000000	0.0000000	0.8952255	6019.2616372	1.5183948	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6875734	0.0000000	0.2877073	0.0000000	0.0000000	0.8938676	6072.8744939	1.5182017	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6888160	0.0000000	0.2859350	0.0000000	0.0000000	0.8925058	6127.4509804	1.5180101	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6900682	0.0000000	0.2840212	0.0000000	0.0000000	0.8907562	6183.0173124	1.5178201	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6913956	0.0000000	0.2819129	0.0000000	0.0000000	0.8887076	6239.6006656	1.5176315	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6924567	0.0000000	0.2798046	0.0000000	0.0000000	0.8863631	6297.2292191	1.5174445	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6938069	0.0000000	0.2778933	0.0000000	0.0000000	0.8845503	6355.9322034	1.5172591	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6950417	0.0000000	0.2757730	0.0000000	0.0000000	0.8821237	6415.7399487	1.5170748	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
