eTn	eTp	eRn	eRp	eR1	eAPDS	eLETT	k1	k2	k3	k4	k5	k6	k7	k8	k_ibri
0.0019864	1.0000000	0.0027113	1.0000000	1.0000000	1.0000000	0.0005031	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019888	1.0000000	0.0026996	1.0000000	1.0000000	1.0000000	0.0005030	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019916	1.0000000	0.0026884	1.0000000	1.0000000	1.0000000	0.0005030	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019941	1.0000000	0.0026768	1.0000000	1.0000000	1.0000000	0.0005029	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019965	1.0000000	0.0026654	1.0000000	1.0000000	1.0000000	0.0005029	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019992	1.0000000	0.0026535	1.0000000	1.0000000	1.0000000	0.0005028	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020015	1.0000000	0.0026412	1.0000000	1.0000000	1.0000000	0.0005027	0.0000005	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020042	1.0000000	0.0026280	1.0000000	1.0000000	1.0000000	0.0005027	0.0000005	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020066	1.0000000	0.0026150	1.0000000	1.0000000	1.0000000	0.0005026	0.0000005	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020094	1.0000000	0.0026007	1.0000000	1.0000000	1.0000000	0.0005026	0.0000006	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020122	1.0000000	0.0025865	1.0000000	1.0000000	1.0000000	0.0005025	0.0000006	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020152	1.0000000	0.0025740	1.0000000	1.0000000	1.0000000	0.0005025	0.0000006	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020179	1.0000000	0.0025612	1.0000000	1.0000000	1.0000000	0.0005025	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
