wl(nm)	Tn	Tp	Rn	Rp	R1	APDS	DEL_1	PSI_1	DEL_2	PSI_2	DEL_3	PSI_3	DEL_4	PSI_4
763.747	0.0000000	0.0000000	0.0000000	0.0000000	0.9652055	0.8055580	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
772.4	0.0000000	0.0000000	0.0000000	0.0000000	0.9653406	0.7978956	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
781.25	0.0000000	0.0000000	0.0000000	0.0000000	0.9660391	0.7905061	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
790.306	0.0000000	0.0000000	0.0000000	0.0000000	0.9645705	0.7813139	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
799.574	0.0000000	0.0000000	0.0000000	0.0000000	0.9654707	0.7748782	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
809.061	0.0000000	0.0000000	0.0000000	0.0000000	0.9645611	0.7669731	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
818.777	0.0000000	0.0000000	0.0000000	0.0000000	0.9619223	0.7595336	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
828.729	0.0000000	0.0000000	0.0000000	0.0000000	0.9626149	0.7573954	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
838.926	0.0000000	0.0000000	0.0000000	0.0000000	0.9622208	0.7571458	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
849.377	0.0000000	0.0000000	0.0000000	0.0000000	0.9614163	0.7591320	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
860.092	0.0000000	0.0000000	0.0000000	0.0000000	0.9597535	0.7647824	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
871.08	0.0000000	0.0000000	0.0000000	0.0000000	0.9584172	0.7731386	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
882.353	0.0000000	0.0000000	0.0000000	0.0000000	0.9577368	0.7840802	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
893.921	0.0000000	0.0000000	0.0000000	0.0000000	0.9587265	0.7950449	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
905.797	0.0000000	0.0000000	0.0000000	0.0000000	0.9586108	0.8064790	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
