wl(nm)	eTn	eTp	eRn	eRp	eR1	eAPDS	eDEL_1	ePSI_1	eDEL_2	ePSI_2	eDEL_3	ePSI_3	eDEL_4	ePSI_4
557.621	0.0000000	0.0000000	0.0000000	0.0000000	0.0073968	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
562.219	0.0000000	0.0000000	0.0000000	0.0000000	0.0073989	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
566.893	0.0000000	0.0000000	0.0000000	0.0000000	0.0074014	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
571.646	0.0000000	0.0000000	0.0000000	0.0000000	0.0074044	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
576.48	0.0000000	0.0000000	0.0000000	0.0000000	0.0074084	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
581.395	0.0000000	0.0000000	0.0000000	0.0000000	0.0074088	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
586.396	0.0000000	0.0000000	0.0000000	0.0000000	0.0074095	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
591.483	0.0000000	0.0000000	0.0000000	0.0000000	0.0074095	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
596.659	0.0000000	0.0000000	0.0000000	0.0000000	0.0074078	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
601.926	0.0000000	0.0000000	0.0000000	0.0000000	0.0074088	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
607.287	0.0000000	0.0000000	0.0000000	0.0000000	0.0074120	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
612.745	0.0000000	0.0000000	0.0000000	0.0000000	0.0074166	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
618.302	0.0000000	0.0000000	0.0000000	0.0000000	0.0074193	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
623.96	0.0000000	0.0000000	0.0000000	0.0000000	0.0074217	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
629.723	0.0000000	0.0000000	0.0000000	0.0000000	0.0074213	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
635.593	0.0000000	0.0000000	0.0000000	0.0000000	0.0074282	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
641.574	0.0000000	0.0000000	0.0000000	0.0000000	0.0074306	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
647.668	0.0000000	0.0000000	0.0000000	0.0000000	0.0074263	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
